id,firstName,lastName,identifier,affiliation
b84a21c1-6b9b-4462-97fd-b83484265930,Samriddhi,Agarwal,https://orcid.org/0000-0003-4497-1637,f03f8ea3-b69c-433c-9ac8-a3e86a602110
fab65a33-76ba-4b32-8559-ffde0da03a20,Ankit,Agrawal,,
406b8f52-9478-435d-a404-9f764bfd2c28,Krish,Agrawal,,
6b9c0744-047d-443e-a06a-69d8e272a610,Raghav,Agrawal,https://orcid.org/0009-0000-1788-2917,2081365c-44f8-4f7f-9170-0ed5519cfac7
d0df2dbe-63d2-4639-8772-d9a390ba463b,Yudhik,Agrawal,https://orcid.org/0000-0003-3827-6857,e28e4854-7864-405b-a636-488270d245b5
0cf58664-a73e-4b89-990f-d552911af702,,Airmansmith97,,
2f62e6a8-377c-4d81-864b-07a282b169b2,Arib,Alam,,
85e744f8-93bd-472c-a465-9c0998bc58b3,,Alex-Ian-Hamilton,,
cf8220c8-e01b-4aba-ab5c-4a1eff592485,Saksham,Alok,,
1c571ccf-d3db-4a9c-93a0-0d5f1c830217,Noah,Altunian,,
34f94fb2-6cec-4c4f-8890-e5539c1f2226,Nicolas,André,https://orcid.org/0000-0001-8017-5676,
e96a9a04-5a81-4458-83a0-7b4ddd94c1bf,Vassilis,Angelopoulos,https://orcid.org/0000-0001-7024-1561,df2eece9-956d-44d2-a946-8bd78f235caa
e7d18d68-4e90-465e-8e10-0e3b83c60661,,Ankit,,
83be1bd8-e308-46dc-bd46-f4e707318ed5,Alex,Antunes,https://orcid.org/0000-0002-3098-2602,c97a18a8-2b38-4eff-8f50-dbf23bec67a8
0f44a1f3-e5a4-479d-8a63-874ca10274b9,Sandy,Antunes,,b48fbcd1-b715-4ef5-a5fa-8fd13411c0e9
a7d1f0ee-d047-450b-8cc5-f16d8cd85f9a,Quinn,Arbolante,https://orcid.org/0000-0003-0260-453X,f39019aa-9a3f-4aca-83c1-5d99e4bb36d6
bfa2c4ed-f5cc-48d1-93b4-a91a9a6b7f85,Emmanuel,Arias,,
9aef4a65-e1ef-4fb3-9f0e-55746379ff4c,,aringlis,,
e241cbf2-b3b5-4359-bb36-181988b2de34,Raphael,Attie,,
bd090dd4-a1b2-4445-9f93-f68e9d324c16,Tom,Augspurger,,
376c816e-3eea-4ecd-b7bc-4fb3d7412002,Nicolas,Aunai,https://orcid.org/0000-0002-9862-4318,16c60fac-8235-4ba1-81ee-60bbe306946e
9376d2eb-271b-4231-b956-0ec54436fdcd,Igor,Babuschkin,,
9bf176e1-07ac-4e04-9cdc-ac37826c473d,Samuel T.,Badman,https://orcid.org/0000-0002-6145-436X,45932f91-9568-4106-afe7-6ce9fd15e6b1
862bcee2-c257-4b49-b7d1-71f73c029ea7,Abijith,Bahuleyan,,
1da4919f-9e2a-44d6-bd38-aae776e8344f,Jordan,Ballew,,
5d131d3e-c254-4ce8-a1c8-82507ca1ff99,Varun,Bankar,,
fbed1404-f77c-4223-9c12-08f6e84ae07d,Shanshan,Bao,,a148a363-b43d-423e-ad44-623a180ec6bb
2eb3146b-84a8-4782-93e0-f9d1f9622e26,Chris,Bard,,
6ae1e775-7e0b-4156-a246-7ea52fe37a50,Will,Barnes,https://orcid.org/0000-0001-9642-6089,"94b780b7-eea0-460e-bbbe-64fd197b8882,ed4bfa2d-202f-4c43-aef6-5c5eae6b080e,f2724818-4bc4-4670-8f75-2f7bbb136210,18c9dfcc-f7fb-4194-8542-a8d3aa9ab2ff,6d94ed90-534f-445e-970f-c05fb10ccf0b"
